,accX,accY,accZ,gyroX,gyroY,gyroZ
147,0.023804,-0.034058,0.995361,6.706238,15.281677,-11.535645
148,0.031982,-0.043213,0.98822,6.370544,11.581421,-10.101318
149,0.043823,-0.048767,0.975952,5.775452,9.292603,-10.406494
150,0.041809,-0.042419,0.977417,4.241943,7.385254,-15.197754
151,0.031006,-0.025024,0.999634,2.876282,5.531311,-16.418457
152,0.030518,-0.020508,1.00061,1.167297,3.890991,-17.547607
153,0.024414,-0.019958,0.998718,-0.686646,1.976013,-18.4021
154,0.024292,-0.023987,0.996216,-3.822327,-2.960205,-18.173218
155,0.029663,-0.030457,0.990601,-4.959106,-5.073547,-17.990112
156,0.035645,-0.048096,0.98468,-5.737305,-6.988525,-17.738342
157,0.041748,-0.053345,0.984192,-5.79834,-9.07135,-16.716003
158,0.046143,-0.058533,0.979919,-5.249023,-11.390686,-14.793396
159,0.052429,-0.06012,0.975586,-4.478455,-13.832092,-12.176514
160,0.060242,-0.060364,0.975586,-3.349304,-16.456604,-8.636475
161,0.061096,-0.078491,0.968567,-0.488281,-21.270752,-1.64032
162,0.057007,-0.08252,0.972961,0.946045,-22.636414,-0.862122
163,0.069519,-0.08313,0.969116,2.639771,-24.139404,-0.732422
164,0.08783,-0.079224,0.970215,4.03595,-25.009155,-1.174927
165,0.102173,-0.07196,0.965759,5.203247,-24.879456,-1.617432
166,0.118408,-0.066895,0.962646,5.973816,-23.979187,-1.701355
167,0.127991,-0.062195,0.961243,7.255554,-20.545959,-1.76239
168,0.138733,-0.05603,0.957703,7.698059,-18.341064,-1.342773
169,0.143005,-0.057068,0.956482,8.18634,-16.044617,-0.785828
170,0.142029,-0.056152,0.9552,8.773804,-13.656616,0.091553
171,0.139954,-0.054688,0.950317,10.231018,-9.353638,2.403259
172,0.139282,-0.050903,0.953918,10.955811,-7.56073,4.173279
173,0.13208,-0.044373,0.95697,11.764526,-6.240845,6.660461
174,0.131042,-0.04187,0.960876,12.535095,-5.096436,9.475708
175,0.1297,-0.039001,0.961304,13.328552,-4.02832,12.496948
176,0.129517,-0.039551,0.965271,13.931274,-2.845764,15.510559
177,0.132629,-0.0448,0.961487,14.732361,-1.747131,18.257141
178,0.135803,-0.05304,0.95282,16.098022,1.609802,21.392822
179,0.13446,-0.055542,0.953125,16.807556,3.562927,21.965027
180,0.134033,-0.060303,0.954285,17.532349,5.584717,22.140503
181,0.133606,-0.060852,0.952393,18.890381,9.841919,20.462036
